service_date,total_rides
01/23/2003,1363332
01/24/2003,1439854
01/25/2003,807231
01/26/2003,503829
01/27/2003,1486328
01/28/2003,1550266
01/29/2003,1565193
01/30/2003,1594791
01/31/2003,1506559
02/01/2003,930931
02/02/2003,607892
02/03/2003,1636104
02/04/2003,1577626
02/05/2003,1547328
02/06/2003,1578861
02/07/2003,1527228
02/08/2003,833951
02/09/2003,548825
02/10/2003,1532627
02/11/2003,1520638
02/12/2003,1272446
02/13/2003,1576690
02/14/2003,1579851
02/15/2003,815768
02/16/2003,554215
02/17/2003,1157783
02/18/2003,1579167
02/19/2003,1588040
02/20/2003,1599861
02/21/2003,1607096
02/22/2003,806459
02/23/2003,563268
02/24/2003,1482337
02/25/2003,1470377
02/26/2003,1527791
02/27/2003,1550713
02/28/2003,1609034
03/01/2003,901441
03/02/2003,529617
03/03/2003,1357471
03/04/2003,1571010
03/05/2003,1452480
03/06/2003,1448356
03/07/2003,1564757
03/08/2003,824616
03/09/2003,513758
03/10/2003,1490296
03/11/2003,1572928
03/12/2003,1585923
03/13/2003,1588777
03/14/2003,1624943
03/15/2003,1018651
03/16/2003,664665
03/17/2003,1574685
03/18/2003,1559575
03/19/2003,1525380
03/20/2003,1530995
03/21/2003,1556134
03/22/2003,869989
03/23/2003,626371
03/24/2003,1547038
03/25/2003,1567606
03/26/2003,1563505
03/27/2003,1562871
03/28/2003,1368226
03/29/2003,835999
03/30/2003,563180
03/31/2003,1551758
04/01/2003,1632095
04/02/2003,1623684
04/03/2003,1587136
04/04/2003,1485295
04/05/2003,886769
04/06/2003,558742
04/07/2003,1438996
04/08/2003,1547251
04/09/2003,1598977
04/10/2003,1632256
04/11/2003,1513585
04/12/2003,924024
04/13/2003,627093
04/14/2003,1497990
04/15/2003,1500829
04/16/2003,1414587
04/17/2003,1378887
04/18/2003,1252193
04/19/2003,825612
04/20/2003,540877
04/21/2003,1497673
04/22/2003,1581643
04/23/2003,1536601
04/24/2003,1581456
04/25/2003,1574472
04/26/2003,888785
04/27/2003,614178
04/28/2003,1544248
04/29/2003,1554606
04/30/2003,1396238
05/01/2003,1568379
05/02/2003,1655672
05/03/2003,981093
05/04/2003,610165
05/05/2003,1614549
05/06/2003,1634071
05/07/2003,1587649
05/08/2003,1589856
05/09/2003,1608917
05/10/2003,879365
05/11/2003,515847
05/12/2003,1537527
05/13/2003,1584261
05/14/2003,1495088
05/15/2003,1569909
05/16/2003,1589540
05/17/2003,919207
05/18/2003,610903
05/19/2003,1541471
05/20/2003,1560803
05/21/2003,1585464
05/22/2003,1558576
05/23/2003,1544484
05/24/2003,892591
05/25/2003,631920
05/26/2003,604819
05/27/2003,1558813
05/28/2003,1497241
05/29/2003,1557046
05/30/2003,1601903
05/31/2003,893149
06/01/2003,668118
06/02/2003,1561327
06/03/2003,1602320
06/04/2003,1612491
06/05/2003,1614388
06/06/2003,1578549
06/07/2003,988848
06/08/2003,610181
06/09/2003,1578403
06/10/2003,1537011
06/11/2003,1568192
06/12/2003,1574455
06/13/2003,1569134
06/14/2003,946940
06/15/2003,643337
06/16/2003,1536453
06/17/2003,1567138
06/18/2003,1485440
06/19/2003,1542817
06/20/2003,1549396
06/21/2003,956691
06/22/2003,665360
06/23/2003,1424334
06/24/2003,1548994
06/25/2003,1445085
06/26/2003,1433967
06/27/2003,1551926
06/28/2003,911662
06/29/2003,751133
06/30/2003,1496603
07/01/2003,1591561
07/02/2003,1576989
07/03/2003,1773812
07/04/2003,819478
07/05/2003,912914
07/06/2003,659044
07/07/2003,1422208
07/08/2003,1425908
07/09/2003,1470909
07/10/2003,1507664
07/11/2003,1523102
07/12/2003,946270
07/13/2003,678630
07/14/2003,1516396
07/15/2003,1492508
07/16/2003,1513557
07/17/2003,1441397
07/18/2003,1492560
07/19/2003,944015
07/20/2003,627857
07/21/2003,1461582
07/22/2003,1480306
07/23/2003,1528810
07/24/2003,1518668
07/25/2003,1495160
07/26/2003,897321
07/27/2003,589740
07/28/2003,1412105
07/29/2003,1519244
07/30/2003,1496798
07/31/2003,1506970
08/01/2003,1517803
08/02/2003,1078691
08/03/2003,632645
08/04/2003,1505432
08/05/2003,1518669
08/06/2003,1465010
08/07/2003,1507187
08/08/2003,1487428
08/09/2003,1009694
08/10/2003,663640
08/11/2003,1373497
08/12/2003,1459756
08/13/2003,1489651
08/14/2003,1450143
08/15/2003,1475691
08/16/2003,990902
08/17/2003,753438
08/18/2003,1381133
08/19/2003,1431021
08/20/2003,1405467
08/21/2003,1383143
08/22/2003,1443726
08/23/2003,898545
08/24/2003,635490
08/25/2003,1411662
08/26/2003,1409914
08/27/2003,1441260
08/28/2003,1436488
08/29/2003,1507275
08/30/2003,961564
08/31/2003,639465
09/01/2003,526068
09/02/2003,1674842
09/03/2003,1710293
09/04/2003,1692385
09/05/2003,1679702
09/06/2003,959360
09/07/2003,644358
09/08/2003,1651612
09/09/2003,1662760
09/10/2003,1665133
09/11/2003,1657928
09/12/2003,1652468
09/13/2003,951924
09/14/2003,621658
09/15/2003,1669208
09/16/2003,1697557
09/17/2003,1686976
09/18/2003,1670766
09/19/2003,1662385
09/20/2003,957310
09/21/2003,652415
09/22/2003,1630532
09/23/2003,1678812
09/24/2003,1617572
09/25/2003,1654721
09/26/2003,1583162
09/27/2003,950325
09/28/2003,614029
09/29/2003,1638777
09/30/2003,1638119
10/01/2003,1695923
10/02/2003,1657867
10/03/2003,1667308
10/04/2003,1034682
10/05/2003,665137
10/06/2003,1636737
10/07/2003,1751776
10/08/2003,1719382
10/09/2003,1661914
10/10/2003,1693583
10/11/2003,995166
10/12/2003,763112
10/13/2003,1327988
10/14/2003,1619804
10/15/2003,1738522
10/16/2003,1664080
10/17/2003,1674982
10/18/2003,995837
10/19/2003,663954
10/20/2003,1709341
10/21/2003,1603229
10/22/2003,1644345
10/23/2003,1652526
10/24/2003,1648362
10/25/2003,948316
10/26/2003,627733
10/27/2003,1610955
10/28/2003,1609819
10/29/2003,1624732
10/30/2003,1658748
